tempmax_min,tempmax_max,tempmax_mean,tempmin_min,tempmin_max,tempmin_mean,temp_min,temp_max,temp_mean,feelslikemax_min,feelslikemax_max,feelslikemax_mean,feelslikemin_min,feelslikemin_max,feelslikemin_mean,feelslike_min,feelslike_max,feelslike_mean,dew_min,dew_max,dew_mean,precip_min,precip_max,precip_mean,precipprob_min,precipprob_max,precipprob_mean,precipcover_min,precipcover_max,precipcover_mean,snow_min,snow_max,snow_mean,snowdepth_min,snowdepth_max,snowdepth_mean,windgust_min,windgust_max,windgust_mean,windspeed_min,windspeed_max,windspeed_mean,winddir_min,winddir_max,winddir_mean,sealevelpressure_min,sealevelpressure_max,sealevelpressure_mean,humidity_min,humidity_max,humidity_mean,cloudcover_min,cloudcover_max,cloudcover_mean,visibility_min,visibility_max,visibility_mean,sunrise_min,sunrise_max,sunrise_mean,sunset_min,sunset_max,sunset_mean,moonphase_min,moonphase_max,moonphase_mean,conditions_<lambda>,sunlight_duration_min,sunlight_duration_max,sunlight_duration_mean,uvindex_min,uvindex_max,uvindex_mean,solarradiation_min,solarradiation_max,solarradiation_mean,solarenergy_min,solarenergy_max,solarenergy_mean,severerisk_min,severerisk_max,severerisk_mean,Active Energy (kWh)_sum,month
11.7,18.0,15.625,3.9,9.8,7.491666666666667,7.5,13.2,11.104166666666666,11.7,18.0,15.625,3.5,9.8,7.391666666666667,6.7,13.2,10.9,5.8,10.3,8.595833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,46.1,26.704166666666666,16.5,22.3,20.166666666666668,2.2,357.8,261.37916666666666,1024.3,1024.8,1024.4083333333333,83.8,89.7,85.57083333333333,30.3,51.5,45.29166666666666,8.4,24.1,12.325,7.0,7.066666666666666,7.033333333333333,17.466666666666665,17.533333333333335,17.5,0.25,0.25,0.25,2,627.3333333333334,628.7166666666667,628.1104166666667,4.0,6.0,4.75,87.5,135.3,99.2625,7.7,11.5,8.579166666666667,10.0,10.0,10.0,3749120.972455411,11.033333333333333
12.2,19.0,16.375,4.4,6.9,5.966666666666668,8.5,12.5,11.029166666666669,12.2,19.0,16.375,1.7,5.6,4.479166666666667,8.1,12.4,10.804166666666667,3.2,9.9,7.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,38.2,21.775,10.1,14.4,12.3125,167.3,208.3,183.7875,1022.4,1023.6,1022.9416666666666,78.5,86.0,81.50416666666666,28.3,82.0,42.07083333333333,9.8,24.1,13.375,7.016666666666667,7.083333333333333,7.05,17.45,17.516666666666666,17.483333333333334,0.29,0.29,0.29,2,624.9833333333333,626.4166666666666,625.7826388888889,4.0,6.0,5.125,105.9,114.3,109.9875,9.2,9.8,9.45,10.0,10.0,10.0,5114021.414030584,11.066666666666666
13.5,18.0,16.729166666666668,5.2,14.0,9.675,9.7,15.7,13.404166666666669,13.5,18.0,16.729166666666668,-0.9,14.0,6.733333333333333,7.8,15.7,12.875,6.9,15.0,12.075,7.0,24.6,14.598583333333332,100.0,100.0,100.0,25.0,66.67,50.695,0.0,0.0,0.0,0.0,0.0,0.0,16.2,70.6,38.13333333333333,17.3,46.8,28.079166666666666,138.0,275.1,228.525,1019.9,1021.0,1020.1666666666666,76.1,96.2,89.52499999999999,79.3,98.3,86.22500000000001,5.9,12.1,7.954166666666667,7.05,7.1,7.066666666666666,17.433333333333334,17.5,17.466666666666665,0.32,0.32,0.32,4,622.6666666666666,624.1166666666667,623.4729166666667,1.0,2.0,1.625,25.2,43.6,34.56666666666667,2.2,3.8,3.025,10.0,10.0,10.0,5401065.695834614,11.1
12.9,17.6,15.708333333333334,6.7,7.9,7.129166666666666,9.2,12.3,11.079166666666666,12.9,17.6,15.708333333333334,3.0,7.0,5.3375,7.8,12.2,10.545833333333333,-18.9,8.9,-1.2791666666666666,0.0,0.3,0.170375,0.0,100.0,75.0,0.0,4.17,3.1275,0.0,0.0,0.0,0.0,0.0,0.0,12.2,45.7,23.9875,14.0,25.2,17.2625,8.5,349.5,217.9958333333333,1023.1,1023.9,1023.2708333333334,11.3,82.3,51.29166666666666,46.4,71.4,56.20416666666667,9.8,24.1,13.2875,7.066666666666666,7.133333333333334,7.1,17.416666666666668,17.483333333333334,17.45,0.36,0.36,0.36,4,620.3666666666667,621.85,621.1895833333333,5.0,5.0,5.0,133.5,135.3,134.15833333333333,11.5,11.6,11.525,10.0,10.0,10.0,5227461.590006188,11.133333333333333
14.9,19.0,17.25,4.8,8.2,6.779166666666666,11.4,11.7,11.5875,14.9,19.0,17.25,3.7,8.0,5.9750000000000005,11.3,11.5,11.375,-8.6,8.8,2.3833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,18.0,14.816666666666668,13.9,18.0,16.2375,138.7,262.2,206.71666666666667,1022.0,1022.6,1022.1625,22.6,85.2,58.833333333333336,0.3,3.1,1.5875,7.9,24.1,11.995833333333335,7.083333333333333,7.15,7.116666666666666,17.383333333333333,17.466666666666665,17.433333333333334,0.39,0.39,0.3899999999999999,0,618.0833333333334,619.6,618.9277777777778,5.0,6.0,5.375,133.6,144.2,140.65416666666667,11.4,12.4,12.083333333333334,10.0,10.0,10.0,4818066.496668854,11.166666666666666
12.6,19.2,16.558333333333334,4.4,8.9,7.45,9.2,13.7,11.895833333333334,12.6,19.2,16.558333333333334,2.1,6.6,5.345833333333334,7.7,13.4,11.2,1.9,12.4,8.5375,0.1,1.0,0.6114166666666666,100.0,100.0,100.0,4.17,8.33,5.903333333333333,0.0,0.0,0.0,0.0,0.0,0.0,11.2,35.6,22.058333333333334,11.2,32.4,18.716666666666665,169.4,276.6,214.36666666666667,1020.3,1021.1,1020.5708333333332,70.3,93.5,83.87083333333332,53.6,68.3,59.2375,7.7,23.8,11.554166666666667,7.1,7.166666666666667,7.133333333333334,17.366666666666667,17.45,17.416666666666668,0.43,0.43,0.43,4,615.8333333333334,617.3833333333333,616.6888888888889,2.0,4.0,2.875,49.3,72.1,59.46666666666667,4.3,6.0,5.1375,10.0,10.0,10.0,4662418.458703826,11.2
11.4,20.0,16.833333333333332,4.2,11.0,8.525,7.8,15.5,12.7125,11.4,20.0,16.833333333333332,4.0,11.0,8.333333333333334,7.0,15.5,12.491666666666667,4.7,13.1,10.041666666666666,0.0,0.1,0.0568333333333333,0.0,100.0,75.0,0.0,4.17,3.1275,0.0,0.0,0.0,0.0,0.0,0.0,28.4,83.2,44.5875,14.3,22.3,16.6875,160.7,202.6,175.47083333333333,1017.2,1019.0,1017.7,82.0,86.4,84.67916666666666,69.7,96.8,74.9625,9.5,24.1,13.016666666666666,7.116666666666666,7.183333333333334,7.15,17.35,17.433333333333334,17.4,0.47,0.47,0.47,4,613.5833333333334,615.1833333333333,614.4756944444445,4.0,4.0,4.0,68.9,79.1,75.16666666666667,6.1,6.9,6.525,10.0,10.0,10.0,5027183.253393939,11.233333333333333
14.3,18.7,17.395833333333332,5.9,14.9,9.408333333333331,8.2,16.5,13.383333333333333,14.3,18.7,17.395833333333332,1.0,14.9,7.641666666666667,6.2,16.5,12.866666666666667,7.0,15.6,12.3625,23.0,25.4,24.036125,100.0,100.0,100.0,8.33,50.0,36.11,0.0,0.0,0.0,0.0,0.0,0.0,26.3,83.5,44.0375,16.7,32.4,22.4875,189.6,256.4,213.8,1014.0,1015.3,1014.5083333333332,92.1,94.8,93.67916666666667,67.5,96.5,76.42916666666666,7.9,20.6,10.9875,7.133333333333334,7.2,7.166666666666667,17.333333333333332,17.416666666666668,17.383333333333333,0.5,0.5,0.5,4,611.3833333333333,613.0,612.2840277777777,1.0,2.0,1.75,29.4,43.7,35.19583333333333,2.6,3.9,3.1125000000000003,10.0,10.0,10.0,4408901.88372637,11.266666666666667
14.9,19.0,17.9875,5.6,13.0,10.304166666666667,7.8,15.6,12.766666666666666,14.9,19.0,17.9875,1.6,13.0,9.2375,5.8,15.6,12.2625,7.0,14.1,11.5125,1.2,2.013,1.535875,100.0,100.0,100.0,8.33,25.0,18.40083333333333,0.0,0.0,0.0,0.0,0.0,0.0,14.0,45.0,23.28333333333333,13.0,25.2,16.316666666666666,189.9,274.8,232.8791666666667,1019.6,1020.5,1020.0291666666668,91.1,95.2,92.59166666666664,45.5,73.8,52.75833333333333,6.8,24.1,10.870833333333332,7.166666666666667,7.216666666666667,7.183333333333334,17.316666666666666,17.4,17.366666666666667,0.53,0.53,0.53,4,609.1833333333333,610.85,610.1201388888888,3.0,5.0,4.25,68.8,109.6,81.77916666666667,6.0,9.5,7.120833333333334,10.0,10.0,10.0,4254927.140986585,11.3
11.7,21.7,17.75,6.2,11.0,9.2125,8.2,15.0,12.554166666666667,11.7,21.7,17.75,4.7,11.0,8.729166666666666,7.8,15.0,12.445833333333333,6.9,13.2,10.733333333333334,0.0,0.2,0.0863333333333333,0.0,100.0,66.66666666666667,0.0,8.33,5.553333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.6,33.8,16.287499999999998,9.6,13.0,11.0875,132.5,174.1,143.72916666666666,1022.8,1024.1,1023.0541666666668,87.8,92.0,89.61666666666667,24.1,35.2,27.125,8.2,24.1,12.225,7.183333333333334,7.25,7.216666666666667,17.3,17.383333333333333,17.35,0.57,0.57,0.57,4,607.05,608.7333333333333,607.9888888888889,5.0,5.0,5.0,114.5,136.5,127.66666666666669,9.9,11.9,11.066666666666668,10.0,10.0,10.0,4296768.619022957,11.333333333333334
